Thesis Grading Guidelines,,,,,,,
"(0) These grading guidelines are a work in progress and may undergo revisions. 
(1) The thesis is evaluated as a demonstration of your ability to carry out and communicate scientific research. You are not graded on the ""impact"" of your results or whether they meet certain expectations but on how you produced, analyzed, and presented them. For example, you don't need to invent LSTM to get your degree; so finding out that an interesting hypothesis does not work is fine, if it has been executed properly.
(2) During the research and development phase, you are encouraged to seek and apply feedback from your supervisor as needed. However, for the thesis manuscript itself, you may receive high-level feedback from your supervisor only once, ensuring that the final written work is authentically your own.
(3) To receive an overall passing grade, you must achieve a passing grade in each of the three sections (Scientific Work, Scientific Documentation, Manuscript) and the manuscript must pass the plagiarism check.",,,,,,,
,,,,,,,
Not sufficient (5) ,Sufficient (4)  ,Satisfactory (3),Good (2),Excellent (1) ,Factor,Grade,
Scientific Work,,,,,0.50,-,
Research/technical skills ,,,,,0.30,-,
"*Inadequate knowledge of the research area.
*Does not have a proper project management strategy (works sloppily).
*Has acquired insufficient skills (e.g. coding) needed to fulfill the project.
*The student is unable to identify or select appropriate tools or metrics for producing and analyzing results.","*Limited knowledge of the research area, but lacks in-depth understanding and reasoning.
*Must be regularly reminded of the importance of good project management strategy (work with precision), but does take this advice to heart.
*Has acquired most of the necessary skills (e.g. coding) to conduct the project.
*The student is aware of basic tools and metrics but struggles to select those best suited for the research task.","*Sufficient knowledge of the research area, and shows some in-depth understanding and reasoning.
*Has a good project management strategy (works organized with precision) and, after an explanation, understands why certain procedures are necessary.
*Has acquired the necessary skills (e.g. coding) to conduct good, reliable, and reproducible results.
*The student selects suitable tools and metrics for the analysis but may require some guidance in their application.","*Good knowledge of the research area, shows an in-depth understanding of the conceptual (theoretical) framework.
*Has a good project management strategy (works organized with precision) and understands why certain approaches are necessary, without a detailed explanation.
*The student is mostly capable of selecting adapted tools and metrics for producing and analyzing results, with occasional support.","*Very good knowledge of the research area, shows an in-depth understanding of the conceptual (theoretical) framework and critically reflects on (new) information.
*Has a professional project management strategy (works very well organized with high precision) and understands how certain approaches are connected and necessary, without any explanation.
*The student expertly selects and applies the most suitable tools and metrics for producing and analyzing results, demonstrating strong analytical judgment.",,,
Scientific quality of the research process (1),,,,,0.40,-,
"*Only begins to understand the relevance of the research process and procedures after considerable explanation.
*The resulting data and results are unreliable and unsubstantiated, lacking reproducibility and statistical significance, and are not of any use to the supervisor.","*Understands the relevance of research process and procedures after explanation, but is not yet capable of exploiting this to increase the quality and reliability of the conducted research.
*The resulting data and results are only partly reliable and substantiated, with limited attention to reproducibility (e.g., absence of error bars) and no statistical significance testing.","*Understands the relevance of the research process and procedures without explanation and how experimental procedures can influence the reliability of data, but is not yet able to apply this knowledge to their project.
*The resulting data and results are reliable, relatively well-substantiated, and include some basic elements of reproducibility (e.g., use of error bars) though limited statistical tests are applied.","*Understands the relevance of the research process and procedures without explanation and can pinpoint with some guidance which steps in the experimental procedure may lead to uncertainties, estimating the feasibility of the research.
*The data and results are reliable, relatively well-substantiated, and include reproducibility measures (e.g., error bars) and some statistical significance tests, though with occasional guidance.","*Fully understands the research process and procedures without explanation, demonstrating a strong ability to estimate research feasibility and result reliability.
*The data and results are reliable, very well-substantiated, and carefully interpreted within the context of related work. They include comprehensive reproducibility measures (e.g., error bars) and statistical significance testing, allowing for robust and reproducible conclusions.",,,
Motivation & Independance (2),,,,,0.30,-,
"*Struggles to work independently, relying heavily on supervisor guidance.
*Doesn’t seek feedback or is unresponsive to it.","*Requires firm guidance from the supervisor and demonstrates limited independence.
*Rarely seeks feedback and shows minimal responsiveness to suggestions.","*Works independently with occasional support, creates plans, and generally adheres to time management.
*Occasionally seeks feedback and makes some effort to apply it.","*Demonstrates strong independence, manages tasks effectively, and follows a well-organized plan.
*Proactively seeks feedback, applies it, and updates the supervisor on progress.","*Exhibits full independence, strategically manages tasks and timelines, and adapts plans proactively as needed.
*Consistently seeks feedback, thoughtfully applies it, updates the supervisor on progress, and constructively engages with criticism.",,,
Scientific Documentation ,,,,,0.10,-,
Code (only if applicable),,,,,1.00,-,
"*The code cannot be run or produces errors that prevent it from functioning.
*The code lacks documentation, making it difficult or impossible to understand.
*The code is poorly structured, with unclear naming and no modularity.
*Data is not accessible, and no information is provided on where to find it.
*Dependencies are not listed, and there are no instructions for setting up the environment.","*The code can be run but does not produce the same results as reported in the thesis.
*Documentation is sparse, with unclear or incomplete comments and instructions.
*The code is somewhat structured but has unclear naming and lacks modularity.
*Data is not included in the repository and is not clearly indicated where to find it.
*Dependencies are listed, but the instructions for setting up the environment are incomplete or unclear.","*The code can be run and produces similar results as reported in the thesis with minor discrepancies.
*Documentation is adequate, with basic comments and a README file with general instructions.
*The code is reasonably structured, with clear naming and some modularity.
*Data is included in the repository or clearly indicated where to find it.
*Dependencies are listed, and the instructions for setting up the environment are generally clear.","*The code can be run and produces the same results as reported in the thesis.
*Documentation is thorough, with clear comments, a comprehensive README file, and detailed instructions for running the code.
*The code is well-structured, with clear naming conventions and good modularity.
*Data is included in the repository or clearly indicated where to find it, with precise instructions.
*Dependencies are clearly listed, and the instructions for setting up the environment are detailed and easy to follow.","*The code can be run easily and produces the exact results as reported in the thesis, demonstrating full reproducibility.
*Documentation is exceptional, with extensive comments, a detailed README file, and comprehensive instructions for running the code and reproducing the results.
*The code is exceptionally well-structured, following best programming practices with clear naming conventions and high modularity.
*Data is included in the repository or clearly indicated where to find it, with meticulous instructions and easy access.
*All dependencies are meticulously listed, and the instructions for setting up the environment are thorough, ensuring a smooth setup process.",,,
"Manuscript (BSc: 5-10k | MSc: 10-20k words excl. references, story summary, and appendix, note that supervisors are not required to read the appendix)",,,,,0.40,-,
"Summary Q&A (MANDATORY, upto 3 sentences per answer)",,,,,0.10,-,
